#comment: "This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#version: 0.1
#versions
#  - ENVO: v2021-05-14
#  - SWEET: v3.5.0
#creator_id:
#  - orcid:0000-0003-4808-4736
#  - orcid:0000-0002-4366-3088
#  - orcid:0000-0002-8454-8481
#  - orcid:0000-0002-3410-4655
#  - orcid:0000-0001-7543-6173
#creator_label:
#  - Ruth Duerr
#  - Pier Luigi Buttigieg
#  - Kate Rose
#  - Kai Blumberg
#  - Nancy Wiegand
#curie_map:
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  soreas: "http://sweetontology.net/realmSoil/"
#  sophatmow: "http://sweetontology.net/phenAtmoWind/"
#  soreac: "http://sweetontology.net/realmCryo/"
#  sophhy: "http://sweetontology.net/phenHydro/"
#  sorealg: "http://sweetontology.net/realmLandGlacial/"
#  sophgg: "http://sweetontology.net/phenGeolGeomorphology/"
#  sophatmopc: "http://sweetontology.net/phenAtmoPrecipitation/"
#  somaw: "http://sweetontology.net/matrWater/"
#  sophcr: "http://sweetontology.net/phenCryo/"
#  sophatmofr: "http://sweetontology.net/phenAtmoFront/"
#  soprocsc: "http://sweetontology.net/procStateChange/"
#  sophso: "http://sweetontology.net/phenSolid/"
#  sorea: "http://sweetontology.net/realm/"
#  soreahb: "http://sweetontology.net/realmHydroBody/"
#  sophatmofo: "http://sweetontology.net/phenAtmoFog/"
#  sophgf: "http://sweetontology.net/phenGeolFault/"
#  sorealo: "http://sweetontology.net/realmLandOrographic/"
#  sophatmowm: "http://sweetontology.net/phenAtmoWindMesoscale/"
#  soma: "http://sweetontology.net/matr/"
#  sophsy: "http://sweetontology.net/phenSystem/"
#  sophfd: "http://sweetontology.net/phenFluidDynamics/"
#  sophft: "http://sweetontology.net/phenFluidTransport/"
#  sorepsg: "http://sweetontology.net/reprSpaceGeometry/"
#  sopropst: "http://sweetontology.net/propSpaceThickness/"
#  soreacz: "http://sweetontology.net/realmClimateZone/"
#  orcid: "https://orcid.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	object_id	object_label	predicate_id	match_type	Comments
ENVO:01001746	glacier wind	sophatmowm:	glacier wind	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:03000138	grain of snow	somaw:SnowGrain	snow grain	skos:closeMatch	HumanCurated	Candidate Exact match. Placement in SWEET may need revision (mass noun vs countable entity).
ENVO:01001876	graupel	sophatmopc:Graupel	graupel	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
obo:CHEBI_76413	greenhouse gas	soma:GreenhouseGas	greenhouse gas	skos:relatedMatch	HumanCurated	This mapping is between a role and material entity, important example of semantic clarification provided by more expressive ontology framework, (i.e., there is no material entity that is a greenhouse gas, however certain gasses can bear this greenhouse role). 
ENVO:03400012	hail stone	sophatmopc:Hail	hail	skos:relatedMatch	HumanCurated	Within ENVO this is a material within SWEET it's a phenonema which could be either a material or process. This could be separated out better within SWEET. Candidate for close match if the SWEET hierarchy is clarified.
ENVO:01000880	hailstorm	sophatmopc:HailStorm	hail storm	skos:closeMatch	HumanCurated	Candidate Exact match. Depending on SWEET's placement of phenomena.
ENVO:03400004	heavy snowfall	sophatmopc:HeavySnowfall	heavy snowfall	skos:closeMatch	HumanCurated	Candidate Exact match. Depending on SWEET's placement of phenomena.
ENVO:00000516	hummock	sorealo:Hummock	hummock	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term.
ENVO:01000624	hydrological condensation process	soprocsc:Condensation	condensation	skos:broadMatch	HumanCurated	These are both processes.  A better mapping would be to ENVO's condensation process.
ENVO:01000914	ice ablation zone	soreac:AblationZone	ablation zone	skos:closeMatch	HumanCurated	Mapped in SWEET to ENVO as close match. Possibly candidate exact match.
ENVO:01001618	ice accumulation process	sophcr:Accumulation	accumulation	skos:broadMatch	HumanCurated	Accumulation is a process in SWEET while ENVO distinguishes types of accumulation
ENVO:01001506	ice calf	soreac:Calf	calf	skos:closeMatch	HumanCurated	Ice calf is a mass of ice in ENVO while the SWEET Cryospheric Realm term calf can only apply to calves of ice.  A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
