?label	?subset	?definition	?URI
"ghost fishing"	"envoPlastics"	"An anthropogenic environmental process during which abandoned, lost, or discarded fishing gear attracts and entangles organisms."	"http://purl.obolibrary.org/obo/ENVO_06105114"
"falling snow"	"envoPolar"	"An object aggregate which is composed primarily of snow falling through an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_03400013"
"fjord"	"envoPolar"	"A long and narrow sea inlet with high steeply sloped walled sides. A fjord is a landform created during a period of glaciation."	"http://purl.obolibrary.org/obo/ENVO_00000039"
"shoot system"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them."	"http://purl.obolibrary.org/obo/PO_0009006"
"marine layer"	"envoPolar"	"A layer that is part of a marine water body."	"http://purl.obolibrary.org/obo/ENVO_01000295"
"mock community culture"	"envoEmpo"	"A cell culture which is composed of a microbial community of known composition."	"http://purl.obolibrary.org/obo/ENVO_01001059"
"sea-ice lead"	"envoPolar"	"An ice lead which occurs in a marine water body and is bounded by sea ice."	"http://purl.obolibrary.org/obo/ENVO_01001550"
"biosphere"	"envoPolar"	"An astronomical body part which includes all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact."	"http://purl.obolibrary.org/obo/ENVO_01000817"
"grease ice layer"	"envoPolar"	"A layer which consists of a thin aggregate of frazil ice crystals, which float upon the surface of a water body."	"http://purl.obolibrary.org/obo/ENVO_03000074"
"thermokarst"	"envoPolar"	"An irregular land surface which consists of marshy hollows, hummocks, thermokarst depressions and thermokarst lakes formed from the erosion of ice-rich thawing permafrost areas."	"http://purl.obolibrary.org/obo/ENVO_03000085"
"industrial fire"	"environmental_hazards"	"A fire which occurs in an industrial area or building."	"http://purl.obolibrary.org/obo/ENVO_01001287"
"tropical mixed forest biome"	"wwfBiome"	"A tropical mixed forest in which dominant ecological communities have reached their climax successional state."	"http://purl.obolibrary.org/obo/ENVO_01001798"
"sea ice hummock"	"envoPolar"	"An elevation which is formed by pressure at the point of contact between ice floes, resulting in a conglomeration of broken ice."	"http://purl.obolibrary.org/obo/ENVO_01001537"
"volatile astrogeological material"	"envoAstro"	"A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet."	"http://purl.obolibrary.org/obo/ENVO_01001154"
"intracloud lightning"	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs within a single cloud."	"http://purl.obolibrary.org/obo/ENVO_01000900"
"iron-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active iron reducing microbial communities."	"http://purl.obolibrary.org/obo/ENVO_01000152"
"altostratus cloud"	"envoCloudAtlas"	"A cloud which 1) occurs in the form of a striated, fibrous, or uniform sheet or layer, 2) is composed of water droplets and ice crystals, 3) is located in the middle level of the atmosphere (middle étage)."	"http://purl.obolibrary.org/obo/ENVO_01001410"
"area of woody wetland"	"nlcd2011"	"An area of a planet's surface which is partly covered by forest or shrubland vegetation and where the underlying soil or substrate is periodically saturated with or covered by water. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000893"
"star"	"envoAstro"	"An astronomical object which is composed primarily of luminous plasma held in a spherical form by gravitational forces."	"http://purl.obolibrary.org/obo/ENVO_01000801"
"secondary microplastic particle"	"envoPlastics"	"A microplastic particle which is derived from the breakdown of larger plastic debris."	"http://purl.obolibrary.org/obo/ENVO_01000946"
"brine pool"	"envoPolar"	"MERGED DEFINITION:\nTARGET DEFINITION: A large area of brine on the ocean basin near cold seep vents which release methane into the water. These pools are concentrations of water having an extremely high salinity as compared to the surrounding ocean, caused by the motion of large salt deposits through salt tectonics.\n--------------------\nSOURCE DEFINITION: Marine brine pools are large areas of brine on the ocean basin. These pools are bodies of water that have a salinity three to five times greater than the surrounding ocean. For deep-sea brine pools the source of the salt is the dissolution of large salt deposits through salt tectonics. The brine often contains high concentrations of methane, providing energy to chemosynthetic animals that live near the pool."	"http://purl.obolibrary.org/obo/ENVO_00000369"
"altitudinal condition"	"envoPolar"	"An altitudinal condition is an environmental condition in which ranges of factors such as temperature, humidity, soil composition, solar irradiation, and tree density vary with ranges in altitude."	"http://purl.obolibrary.org/obo/ENVO_01000343"
"cold season"	"envoPolar"	"A season during which the average temperature of a planetary part is below that of all other seasons it endures during a season generating process."	"http://purl.obolibrary.org/obo/ENVO_03000098"
"climate change"	"envoPolar"	"The long-term fluctuations in temperature, precipitation, wind, and all other aspects of the Earth's climate. External processes, such as solar-irradiance variations, variations of the Earth's orbital parameters (eccentricity, precession, and inclination), lithosphere motions, and volcanic activity, are factors in climatic variation. Internal variations of the climate system, e.g., changes in the abundance of greenhouse gases, also may produce fluctuations of sufficient magnitude and variability to explain observed climate change through the feedback processes interrelating the components of the climate system."	"http://purl.obolibrary.org/obo/ENVO_01000629"
"estuarine open water upper water column"	"envoMarine"	"A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001316"
"gas planet"	"envoAstro"	"A planet which is primarily composed of hydrogen and helium."	"http://purl.obolibrary.org/obo/ENVO_01001122"
"volcanic eruption"	"environmental_hazards"	"A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure."	"http://purl.obolibrary.org/obo/ENVO_01000634"
"sedimentation in a water body"	"envoPolar"	"A material accumulation process during which solid particles are pulled through a water body by gravitation or centrifugal force and which ends when they settle on a solid surface."	"http://purl.obolibrary.org/obo/ENVO_03000036"
"tundra climate"	"envoPolar"	"A climate which 1) has a mean temperature for the warmest month of less than 10°C (50°F), but higher than 0°C (32°F), 2) is not conducive to a permanent surficial cover of snow or ice, and 3) supports a tundra ecosystem."	"http://purl.obolibrary.org/obo/ENVO_03000140"
"mountain-gap wind"	"envoAtmo"	"A jet-effect which passes through a gap, constriction, or channel between mountains in a mountain range or between ranges themselves."	"http://purl.obolibrary.org/obo/ENVO_01001731"
"bone element environment"	"envoMeo"	"An environment which is determined by a bone element."	"http://purl.obolibrary.org/obo/ENVO_01001306"
"homomutatus cloud"	"envoAtmo"	"An aeroform which is formed as a result of strong upper winds spreading a cirrus homogenitus cloud in the atmosphere and, in turn, causing internal tranformations which result in the cloud taking on the appearnce of natural cirri-form clouds."	"http://purl.obolibrary.org/obo/ENVO_01001400"
"plastic manufacturing process"	"envoPlastics"	"A manufacturing process which includes plastic as one of its specified outputs."	"http://purl.obolibrary.org/obo/ENVO_06105125"
"temperate marginal sea biome"	"wwfBiome"	"A marginal sea biome which is located in a region with a temperate climate."	"http://purl.obolibrary.org/obo/ENVO_01000856"
"environment determined by a biofilm on a saline surface"	"envoOmics"	"An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to saline materials."	"http://purl.obolibrary.org/obo/ENVO_01001056"
"water ice formation process"	"envoPolar"	"A material transformation process during which water ice is formed."	"http://purl.obolibrary.org/obo/ENVO_01000950"
"radio wave stellar radiation"	"envoAstro"	"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths ranging from millimetre to kilometer scales."	"http://purl.obolibrary.org/obo/ENVO_01001213"
"mussel reef"	"envoCmecs"	"A marine reef which is primarily composed of self-adhered or conglomerated mussel shells."	"http://purl.obolibrary.org/obo/ENVO_01001386"
"estuarine coastal lower water column"	"envoCmecs"	"A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001314"
"hail"	"envoCryo"	"Precipitation which is composed primarily of hail stones."	"http://purl.obolibrary.org/obo/ENVO_03400011"
"ecozone"	"envoPolar"	"Ecozones delineate large areas of a planetary surface within which organisms have been evolving in relative isolation over long periods of time, separated from one another by geographic features, such as oceans, broad deserts, or high mountain ranges, that constitute barriers to migration."	"http://purl.obolibrary.org/obo/ENVO_01000280"
"new ice"	"envoPolar"	"Water ice which is formed from freezing water and is suspended in a water body."	"http://purl.obolibrary.org/obo/ENVO_03000063"
"landslide process"	"environmental_hazards"	"A landslide is a process whereby a large mass of earth and rocks moves down a hill or a mountainside."	"http://purl.obolibrary.org/obo/ENVO_01000692"
"shoot axis"	"http://purl.obolibrary.org/obo/po#Maize"	"A plant axis (PO:0025004) that is part of a shoot system (PO:0009006)."	"http://purl.obolibrary.org/obo/PO_0025029"
"frazil ice formation"	"envoPolar"	"A new ice formation process during which small, needle-like crystals consisting of nearly pure fresh water, form due to the freezing of open, turbulent, supercooled water."	"http://purl.obolibrary.org/obo/ENVO_03000047"
"first year ice formation process"	"envoPolar"	"A sea ice formation process during which seawater freezes onto young ice during the cold season, forming first year ice."	"http://purl.obolibrary.org/obo/ENVO_03000060"
"fecal environment"	"envoMeo"	"An environmental system which has its properties and dynamics determined by feces."	"http://purl.obolibrary.org/obo/ENVO_01001029"
