?label	?exact	?broad	?narrow	?related	?subset	?uri
"concentration of neodymium in water ice"	"water ice neodymium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200031"
"concentration of neoxanthin in liquid water"	"liquid water neoxanthin concentration"					"http://purl.obolibrary.org/obo/ENVO_3100021"
"concentration of niobium in lake water"	"lake water niobium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200013"
"concentration of niobium in snow"	"snow niobium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200051"
"concentration of niobium in water ice"	"water ice niobium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200032"
"concentration of nitrate and nitrite in liquid water"	"liquid water nitrate and nitrite concentration"					"http://purl.obolibrary.org/obo/ENVO_03000123"
"concentration of nitrate in groundwater"	"ground water nitrate concentration"					"http://purl.obolibrary.org/obo/ENVO_09200020"
"concentration of nitrate in groundwater"	"groundwater nitrate concentration"					"http://purl.obolibrary.org/obo/ENVO_09200020"
"concentration of nitrate in liquid water"	"liquid water nitrate concentration"					"http://purl.obolibrary.org/obo/ENVO_3100022"
"concentration of nitrate in soil"	"soil nitrate concentration"					"http://purl.obolibrary.org/obo/ENVO_09200007"
"concentration of nitrite in liquid water"	"liquid water nitrite concentration"					"http://purl.obolibrary.org/obo/ENVO_3100023"
"concentration of nitrogen atom in environmental material"	"environmental material nitrogen atom concentration"					"http://purl.obolibrary.org/obo/ENVO_09000016"
"concentration of nitrogen atom in soil"	"soil nitrogen atom concentration"					"http://purl.obolibrary.org/obo/ENVO_09000017"
"concentration of nitrogen atom in water"	"water nitrogen atom concentration"					"http://purl.obolibrary.org/obo/ENVO_09000018"
"concentration of nitrous oxide in liquid water"	"liquid water nitrous oxide concentration"					"http://purl.obolibrary.org/obo/ENVO_3100024"
"concentration of peridinin in liquid water"	"liquid water peridinin concentration"					"http://purl.obolibrary.org/obo/ENVO_3100025"
"concentration of phosphate in liquid water"	"liquid water phosphate concentration"					"http://purl.obolibrary.org/obo/ENVO_3100026"
