?label	?subset	?def	?cls
"mangrove biome"	"wwfBiome"	"A mangrove biome is a terrestrial biome which includes, across its spatial extent, mangrove plants (Rhizophoraceae). Mangrove plants are able to withstand high levels of salinity as well as regions of anoxia and frequent tidal inundation. Mangrove biomes often occur near tropical and sub-tropical estuaries and depositional marine coastal environments where fine sediments (often with high organic content) collect in areas protected from high energy wave action."	<http://purl.obolibrary.org/obo/ENVO_01000181>
"field"	"envoPolar"	"An unbroken expanse (as of ice)"	<http://purl.obolibrary.org/obo/ENVO_01000352>
"subtropical savanna biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000187>
"greenhouse effect"@en	"envoPolar"	"A process by which thermal radiation from a planetary surface is absorbed by atmospheric greenhouse gases, and is re-radiated in all directions. Since part of this re-radiation is back towards the surface and the lower atmosphere, it results in an elevation of the average surface temperature above what it would be in the absence of the gases."	<http://purl.obolibrary.org/obo/ENVO_02500004>
"biogenous sediment"	"envoPolar"	"Biogenous sediment is derived from living organisms, typically planktonic organisms possessing shells, frustules or coccoliths."	<http://purl.obolibrary.org/obo/ENVO_01000082>
"coastal flooding"@en	"environmental_hazards"	"Coastal flooding is a process in which normally dry, low-lying land near a coast is flooded by sea water."	<http://purl.obolibrary.org/obo/ENVO_01000707>
"ecosystem-wide photosynthesis"	"envoPolar"	"A process which consists of all photosynthesis processes instantiated in an ecosystem."	<http://purl.obolibrary.org/obo/ENVO_02500007>
"marine pelagic biome"	"envoPolar"	"The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths."	<http://purl.obolibrary.org/obo/ENVO_01000023>
"lightning strike"@en	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs between a cloud and an object on a planetary surface, or a planetary surface itself."	<http://purl.obolibrary.org/obo/ENVO_01000901>
"cirque glacier"@en	"envoPolar"	"A small glacier contained within a cirque basin."	<http://purl.obolibrary.org/obo/ENVO_03000013>
"underground lake"	"envoPolar"	"A lake which is formed under the surface of the Earth. Such a lake may be associated with caves and aquifers and springs."	<http://purl.obolibrary.org/obo/ENVO_00000058>
"plastic"	"envoPolar"	"A (portion of) plastic is an (portion of) anthropogenic environmental material including any of numerous organic synthetic or processed materials which are primarily composed of thermoplastic or thermosetting polymers of high molecular weight."	<http://purl.obolibrary.org/obo/ENVO_01000404>
"continental slope"	"envoPolar"	"The seabed below the end of the continental shelf (the shelf break). The continental slope is much steeper than the shelf; the average angle is 3, but it can be as low as 1 or as high as 10. The slope is often cut with submarine canyons."	<http://purl.obolibrary.org/obo/ENVO_00000273>
"second year ice formation"@en	"envoPolar"	"A sea ice formation process during which seawater freezes onto first year ice during the cold season, forming second year sea ice."	<http://purl.obolibrary.org/obo/ENVO_03000061>
"ocean basin"	"envoPolar"	"A structural basin that is below sea level."	<http://purl.obolibrary.org/obo/ENVO_00002450>
"brine channel formation process"@en	"envoPolar"	"A material accumulation process during which brine droplets, trapped between ice crystals formed during seawater freezing, form brine channels."	<http://purl.obolibrary.org/obo/ENVO_03000042>
"freezing rainfall"@en	"envoPolar"	"Rainfall which occurs when the temperature of a planetary surface and its surrounding atmosphere are below the freezing point of water, resulting in supercooled raindrops which freeze upon impact with solid surfaces."	<http://purl.obolibrary.org/obo/ENVO_01000896>
"sea ice formation process"@en	"envoPolar"	"An ice formation process during which seawater is frozen into a sea ice."	<http://purl.obolibrary.org/obo/ENVO_03000057>
"glacial ice gain"@en	"envoPolar"	"A process during which the mass of ice constituting a glacier increases."	<http://purl.obolibrary.org/obo/ENVO_03000029>
"continental shelf"	"envoPolar"	"The extended perimeter of each continent, which is covered during interglacial periods such as the current epoch by relatively shallow sea."	<http://purl.obolibrary.org/obo/ENVO_00000223>
"marine oxygen minimum zone"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_01000065>
"area of pastureland or hayfields"@en	"nlcd2011"	"An area of a planet's surface which is partly covered by planted grasses, legumes, or mixtures of grass and legumes and used for livestock grazing or the production of seed or hay crops. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000891>
