x,xl,p,pl,y,yl
https://purl.obolibrary.org/obo/ENVO_01000545,ionosphere,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000541,thermosphere
http://purl.obolibrary.org/obo/ENVO_02500038,soil pollution,http://purl.obolibrary.org/obo/RO_0002234,,http://purl.obolibrary.org/obo/ENVO_00002116,contaminated soil
http://purl.obolibrary.org/obo/ENVO_00012411,karst cave,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00000175,karst
http://purl.obolibrary.org/obo/ENVO_01000393,tropical lower montane forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000346,lower montane
http://purl.obolibrary.org/obo/ENVO_00000220,archipelago,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000098,island
http://purl.obolibrary.org/obo/ENVO_00000040,waterfall,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000023,stream
http://purl.obolibrary.org/obo/ENVO_01000709,flash flooding,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_00000309,depression
http://purl.obolibrary.org/obo/ENVO_02500035,transpiration,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_02500034,evaporation
http://purl.obolibrary.org/obo/ENVO_01000470,building envelope,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000472,building roof
http://purl.obolibrary.org/obo/ENVO_00000247,volcano,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption
http://purl.obolibrary.org/obo/ENVO_01000500,brick exterior wall,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_01000474,brick material
http://purl.obolibrary.org/obo/ENVO_00000518,ditch mouth,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000037,ditch
http://purl.obolibrary.org/obo/ENVO_01000420,building part,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000073,building
http://purl.obolibrary.org/obo/ENVO_01000048,ocean biome,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000015,ocean
http://purl.obolibrary.org/obo/ENVO_01000210,tropical coniferous forest biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000204,tropical
http://purl.obolibrary.org/obo/ENVO_00002277,back-arc basin,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000482,sea floor
http://purl.obolibrary.org/obo/ENVO_01000217,mediterranean shrubland biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000207,mediterranean
http://purl.obolibrary.org/obo/ENVO_01000406,snow,http://purl.obolibrary.org/obo/RO_0002353,,http://purl.obolibrary.org/obo/ENVO_01000703,hydrological precipitation process
http://purl.obolibrary.org/obo/ENVO_00000482,sea floor,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000016,sea
http://purl.obolibrary.org/obo/ENVO_01000407,littoral zone,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_01000317,aquatic environment
http://purl.obolibrary.org/obo/ENVO_01000109,marine warm-water sphere,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_01000075,marine thermocline
http://purl.obolibrary.org/obo/ENVO_01000525,intrusion,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00001995,rock
http://purl.obolibrary.org/obo/ENVO_01000328,dome swamp,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000309,depression
http://purl.obolibrary.org/obo/ENVO_00000007,third-order administrative region,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000006,second-order administrative region
http://purl.obolibrary.org/obo/ENVO_00000369,brine pool,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000015,ocean
http://purl.obolibrary.org/obo/ENVO_01000599,river water,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000022,river
http://purl.obolibrary.org/obo/ENVO_01000320,marine environment,http://purl.obolibrary.org/obo/ENVO_2100001,determined by,http://purl.obolibrary.org/obo/ENVO_00001999,marine water body
http://purl.obolibrary.org/obo/ENVO_00002131,epilimnion,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00002132,metalimnion
http://purl.obolibrary.org/obo/ENVO_00001996,mine drainage,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000076,mine
http://purl.obolibrary.org/obo/ENVO_01000686,marine water mass,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002149,sea water
